modesX,modesY,coeffINI,accumINIinside,accumINIoutside,accumINIototal,coeffGD,accumGDinside,accumGDoutside,accumGDototal,coeffLSGD,accumLSGDinside,accumLSGDoutside,accumLSGDototal
7,43,5.329380432038463e-11,8.388693697926017,0.004038153906350305,8.392731851832368,5.998373365141679e-12,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,8.92858642386441e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,44,9.935720044712501e-12,8.388693697926017,0.004038153906350305,8.392731851832368,3.701565793724142e-12,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,9.388510684444143e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,45,1.2806575092893594e-11,8.388693697926017,0.004038153906350305,8.392731851832368,2.803216197033543e-10,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,9.606636527062047e-10,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,46,1.0556430988448606e-10,8.388693697926017,0.004038153906350305,8.392731851832368,4.905543741821937e-13,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,5.340790449193305e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,47,7.489724949777438e-11,8.388693697926017,0.004038153906350305,8.392731851832368,2.3589414220015012e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.6171830504717945e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,48,2.4328196273460143e-11,8.388693697926017,0.004038153906350305,8.392731851832368,2.586347311928401e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,9.74505356231634e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,49,2.0375219242248183e-11,8.388693697926017,0.004038153906350305,8.392731851832368,6.547097286416657e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,2.4405832269348463e-10,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,50,8.097991940739932e-11,8.388693697926017,0.004038153906350305,8.392731851832368,8.459148495881531e-12,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.1303699098157271e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,51,3.022651824365862e-11,8.388693697926017,0.004038153906350305,8.392731851832368,3.3646090427449017e-10,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.0557944190466031e-10,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,52,6.078601393879124e-11,8.388693697926017,0.004038153906350305,8.392731851832368,6.180257068795263e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,3.6993355236041795e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,53,1.1902211290286333e-12,8.388693697926017,0.004038153906350305,8.392731851832368,1.8705704528848587e-10,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,9.615657217352682e-14,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,54,1.4084907204467858e-10,8.388693697926017,0.004038153906350305,8.392731851832368,4.64334077675556e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,3.647911606194781e-10,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,55,8.21354816857234e-10,8.388693697926017,0.004038153906350305,8.392731851832368,2.3857373018334106e-12,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,4.323329879391908e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,56,6.768723452595409e-11,8.388693697926017,0.004038153906350305,8.392731851832368,7.605530808030656e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,9.902365038307886e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,57,9.744932699004096e-13,8.388693697926017,0.004038153906350305,8.392731851832368,3.2050335994904687e-10,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,4.789172573825124e-10,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,58,2.6153715154804054e-11,8.388693697926017,0.004038153906350305,8.392731851832368,3.840938757596937e-12,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,9.65645396139794e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,59,2.9111311440586545e-11,8.388693697926017,0.004038153906350305,8.392731851832368,5.709620319974127e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,2.020334726165705e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,60,1.3296103997695523e-12,8.388693697926017,0.004038153906350305,8.392731851832368,6.162593473800296e-13,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,2.0717485113073048e-10,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,61,1.9124818078618582e-10,8.388693697926017,0.004038153906350305,8.392731851832368,1.9202467358848902e-10,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,6.614780865021624e-12,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,62,1.0788495599404502e-09,8.388693697926017,0.004038153906350305,8.392731851832368,3.957055723774622e-10,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.7867217022985037e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,63,1.6971414284760874e-11,8.388693697926017,0.004038153906350305,8.392731851832368,2.3336739890819735e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,1.966522328643728e-11,0.1525819970041774,0.0007948269632557247,0.15337682396743313
7,64,2.887983949080988e-10,8.388693697926017,0.004038153906350305,8.392731851832368,3.724194191789403e-11,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,3.9114339500859036e-10,0.1525819970041774,0.0007948269632557247,0.15337682396743313
8,1,4.499392063759404e-05,8.388693697926017,0.004038153906350305,8.392731851832368,1.8913708302175812e-07,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,5.665371807421099e-07,0.1525819970041774,0.0007948269632557247,0.15337682396743313
8,2,1.4028480801980739e-05,8.388693697926017,0.004038153906350305,8.392731851832368,1.9138956387094525e-05,1.6758673586259838,2.9818761527606265e-05,1.6758971773875113,3.841842590175317e-09,0.1525819970041774,0.0007948269632557247,0.15337682396743313
